roc_auc,ap_pcos,ap_control,baseline_ap_pcos,baseline_ap_control,balanced_accuracy,sensitivity,specificity,mcc,brier,log_loss,fold,n_test,layer,model
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,6.939164359646322e-06,0.0010663646530511494,0,267,raw_schema,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.253578033745343e-06,0.0009186117097128211,1,266,raw_schema,logistic
1.0,0.9999999999999998,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,8.96586199593708e-06,0.0011776572787653102,2,266,raw_schema,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.1379891801063454e-05,0.0014150259518295619,3,266,raw_schema,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.6925202686399555e-06,0.0010048848709191256,4,266,raw_schema,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,1.1737116843520856e-05,0.0013592264895063131,5,267,raw_schema,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,5.432293098749185e-06,0.0009028725558355334,6,266,raw_schema,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,5.689782719529302e-06,0.0009248153036217744,7,266,raw_schema,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,1.1842694071800377e-05,0.0014711987236469984,8,266,raw_schema,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.489308491569194e-06,0.0009715187862860153,9,266,raw_schema,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,0,267,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,1,266,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,2,266,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,3,266,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,3.845442384585258e-06,0.00041274377094003385,4,266,raw_schema,random_forest
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,5,267,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,3.081128113251874e-06,0.0003398962656054776,6,266,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,7,266,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,8.383459753517757e-06,0.0009337717439376929,8,266,raw_schema,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0,2.2204460492503136e-16,9,266,raw_schema,random_forest
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,0.0002568941196605997,0.00644466464231739,0,267,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.00019686996957350836,0.005887635830213226,1,266,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.00042831648252168394,0.008011873603737868,2,266,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0003558229718269645,0.007143717493542271,3,266,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0005786195417810867,0.00896764358648926,4,266,harmonized,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,0.0006689729569421202,0.009922568065092386,5,267,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0002595085109487967,0.0060535511894303715,6,266,harmonized,logistic
1.0,0.9999999999999999,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.00019306795941814392,0.005622335203781803,7,266,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0003584398293689526,0.007418462390954055,8,266,harmonized,logistic
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.0004127423048659227,0.007918047600179766,9,266,harmonized,logistic
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,4.346659703171446e-05,0.00464170797435216,0,267,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.8176631635333083e-05,0.004509014335068092,1,266,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,0.000101470914967935,0.008368088735770142,2,266,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,9.004821329814121e-05,0.007836670584689334,3,266,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,6.461824405826853e-05,0.00465998148260743,4,266,harmonized,random_forest
1.0,1.0,1.0,0.9662921348314607,0.033707865168539325,1.0,1.0,1.0,1.0,6.241699054765987e-05,0.0047645522893012176,5,267,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,3.4748212840333886e-05,0.0043909796490425035,6,266,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,7.915636451882633e-11,1.6365672634172286e-06,7,266,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,3.770168354811854e-05,0.00422270505867492,8,266,harmonized,random_forest
1.0,1.0,1.0,0.9661654135338346,0.03383458646616541,1.0,1.0,1.0,1.0,2.477763502694736e-05,0.0042438965346059876,9,266,harmonized,random_forest
