bin,n,observed,predicted,analysis
"(0.0086303, 0.99533]",136,0.6691176470588235,0.6335867978506714,H1_harmonized_missingness_only_logistic
"(0.99533, 0.99545]",146,1.0,0.9954142226588353,H1_harmonized_missingness_only_logistic
"(0.99545, 0.99548]",134,1.0,0.9954682011902743,H1_harmonized_missingness_only_logistic
"(0.99548, 0.99553]",157,1.0,0.9955167182420611,H1_harmonized_missingness_only_logistic
"(0.99553, 0.99557]",118,1.0,0.9955475679535982,H1_harmonized_missingness_only_logistic
"(0.99557, 0.9956]",139,1.0,0.9955849776792827,H1_harmonized_missingness_only_logistic
"(0.9956, 0.99564]",127,1.0,0.9956242061069308,H1_harmonized_missingness_only_logistic
"(0.99564, 0.99981]",109,1.0,0.9984315902386767,H1_harmonized_missingness_only_logistic
"(0.99981, 0.99983]",132,1.0,0.9998198245069845,H1_harmonized_missingness_only_logistic
"(0.99983, 0.99992]",133,1.0,0.9998770283356503,H1_harmonized_missingness_only_logistic
"(0.0020987199999999997, 0.991183]",154,0.7077922077922078,0.7013178230707511,H1_harmonized_missingness_only_random_forest
"(0.991183, 0.991213]",148,1.0,0.991206774277274,H1_harmonized_missingness_only_random_forest
"(0.991213, 0.994076]",106,1.0,0.9932003005813109,H1_harmonized_missingness_only_random_forest
"(0.994076, 0.994084]",155,1.0,0.9940812667933667,H1_harmonized_missingness_only_random_forest
"(0.994084, 0.994094]",108,1.0,0.9940906047036906,H1_harmonized_missingness_only_random_forest
"(0.994094, 0.994135]",132,1.0,0.994122927404057,H1_harmonized_missingness_only_random_forest
"(0.994135, 0.997046]",148,1.0,0.9963903009534589,H1_harmonized_missingness_only_random_forest
"(0.997046, 1.0]",380,1.0,1.0,H1_harmonized_missingness_only_random_forest
"(-0.000999944, 0.46]",134,0.7313432835820896,0.18005784413823164,H2_harmonized_values_only_logistic
"(0.46, 0.793]",133,0.9548872180451128,0.662486333118196,H2_harmonized_values_only_logistic
"(0.793, 0.914]",133,1.0,0.8638276131526995,H2_harmonized_values_only_logistic
"(0.914, 0.96]",133,0.9849624060150376,0.9400444568628843,H2_harmonized_values_only_logistic
"(0.96, 0.982]",133,0.9924812030075187,0.9706726549093678,H2_harmonized_values_only_logistic
"(0.982, 0.991]",133,1.0,0.9868729235707266,H2_harmonized_values_only_logistic
"(0.991, 0.995]",133,1.0,0.9928352409311503,H2_harmonized_values_only_logistic
"(0.995, 0.998]",133,1.0,0.9964423737984517,H2_harmonized_values_only_logistic
"(0.998, 0.999]",133,1.0,0.9985603965574833,H2_harmonized_values_only_logistic
"(0.999, 1.0]",133,1.0,0.9997530919377258,H2_harmonized_values_only_logistic
"(0.0594, 0.942]",134,0.664179104477612,0.7033435040429445,H2_harmonized_values_only_random_forest
"(0.942, 0.978]",133,1.0,0.9640904981841188,H2_harmonized_values_only_random_forest
"(0.978, 0.99]",133,1.0,0.9850962654611624,H2_harmonized_values_only_random_forest
"(0.99, 0.995]",133,1.0,0.9918791661813475,H2_harmonized_values_only_random_forest
"(0.995, 0.996]",134,1.0,0.9953108386613858,H2_harmonized_values_only_random_forest
"(0.996, 1.0]",664,1.0,0.9998504410091761,H2_harmonized_values_only_random_forest
"(3.1944600000000002e-06, 0.998657]",134,0.664179104477612,0.6546591798252154,H3_harmonized_values_plus_missingness_logistic
"(0.998657, 0.999419]",133,1.0,0.9991719487429663,H3_harmonized_values_plus_missingness_logistic
"(0.999419, 0.999584]",133,1.0,0.999513196822884,H3_harmonized_values_plus_missingness_logistic
"(0.999584, 0.999681]",133,1.0,0.9996337684611355,H3_harmonized_values_plus_missingness_logistic
"(0.999681, 0.999773]",133,1.0,0.9997306244782324,H3_harmonized_values_plus_missingness_logistic
"(0.999773, 0.999844]",133,1.0,0.9998098917223319,H3_harmonized_values_plus_missingness_logistic
"(0.999844, 0.999922]",133,1.0,0.9998803372068864,H3_harmonized_values_plus_missingness_logistic
"(0.999922, 0.999995]",133,1.0,0.9999715337741043,H3_harmonized_values_plus_missingness_logistic
"(0.999995, 0.999998]",133,1.0,0.9999967550350427,H3_harmonized_values_plus_missingness_logistic
"(0.999998, 1.0]",133,1.0,0.9999987908180741,H3_harmonized_values_plus_missingness_logistic
"(0.00536, 0.994]",134,0.664179104477612,0.6726996048047656,H3_harmonized_values_plus_missingness_random_forest
"(0.994, 0.998]",137,1.0,0.9957205110877879,H3_harmonized_values_plus_missingness_random_forest
"(0.998, 1.0]",1060,1.0,1.0,H3_harmonized_values_plus_missingness_random_forest
"(0.00108857, 0.991641]",135,0.6666666666666666,0.6602031219091641,M1_raw_missingness_only_logistic
"(0.991641, 0.999213]",132,1.0,0.99799033155262,M1_raw_missingness_only_logistic
"(0.999213, 0.999329]",133,1.0,0.9992803228963484,M1_raw_missingness_only_logistic
"(0.999329, 0.999837]",135,1.0,0.999765651759998,M1_raw_missingness_only_logistic
"(0.999837, 0.99984]",135,1.0,0.9998388611403487,M1_raw_missingness_only_logistic
"(0.99984, 0.999841]",135,1.0,0.9998402456756674,M1_raw_missingness_only_logistic
"(0.999841, 0.999842]",128,1.0,0.9998413820377975,M1_raw_missingness_only_logistic
"(0.999842, 0.999844]",133,1.0,0.999842835563238,M1_raw_missingness_only_logistic
"(0.999844, 0.99985]",134,1.0,0.9998480113751133,M1_raw_missingness_only_logistic
"(0.99985, 0.999879]",131,1.0,0.9998605446058577,M1_raw_missingness_only_logistic
"(-0.001, 0.2]",45,0.0,0.00015805344861033,M1_raw_missingness_only_random_forest
"(0.8, 1.0]",1286,1.0,0.9998319161522802,M1_raw_missingness_only_random_forest
"(-4.842200000000001e-06, 0.9993]",134,0.664179104477612,0.6565120316903723,M2_raw_values_only_logistic
"(0.9993, 0.99943]",133,1.0,0.9993735302073602,M2_raw_values_only_logistic
"(0.99943, 0.99949]",133,1.0,0.9994663828857123,M2_raw_values_only_logistic
"(0.99949, 0.99954]",133,1.0,0.9995167905274932,M2_raw_values_only_logistic
"(0.99954, 0.99959]",133,1.0,0.999564536712825,M2_raw_values_only_logistic
"(0.99959, 0.99963]",133,1.0,0.9996074119659716,M2_raw_values_only_logistic
"(0.99963, 0.99966]",133,1.0,0.9996442388315828,M2_raw_values_only_logistic
"(0.99966, 0.9997]",133,1.0,0.9996801999398246,M2_raw_values_only_logistic
"(0.9997, 0.99974]",133,1.0,0.999718007967861,M2_raw_values_only_logistic
"(0.99974, 0.99994]",133,1.0,0.9997890870450581,M2_raw_values_only_logistic
"(0.008755, 0.9729]",134,0.664179104477612,0.6495534095021438,M2_raw_values_only_random_forest
"(0.9729, 0.9922]",133,1.0,0.9861614947758888,M2_raw_values_only_random_forest
"(0.9922, 0.9947]",133,1.0,0.9936358145978906,M2_raw_values_only_random_forest
"(0.9947, 0.9961]",133,1.0,0.9954656507767592,M2_raw_values_only_random_forest
"(0.9961, 0.997]",133,1.0,0.9965826415821674,M2_raw_values_only_random_forest
"(0.997, 0.9976]",133,1.0,0.9973193262639176,M2_raw_values_only_random_forest
"(0.9976, 0.9982]",133,1.0,0.9979023288500566,M2_raw_values_only_random_forest
"(0.9982, 0.9988]",133,1.0,0.9984693804180286,M2_raw_values_only_random_forest
"(0.9988, 0.9995]",137,1.0,0.9991183832105284,M2_raw_values_only_random_forest
"(0.9995, 1.0]",129,1.0,0.999848022873435,M2_raw_values_only_random_forest
"(1.8234630000000002e-05, 0.9997333]",134,0.664179104477612,0.6565068513021712,M3_raw_values_plus_missingness_logistic
"(0.9997333, 0.9999532]",133,1.0,0.999915342932948,M3_raw_values_plus_missingness_logistic
"(0.9999532, 0.9999618]",133,1.0,0.9999561195021766,M3_raw_values_plus_missingness_logistic
"(0.9999618, 0.9999786]",133,1.0,0.9999771686106624,M3_raw_values_plus_missingness_logistic
"(0.9999786, 0.9999793]",133,1.0,0.9999789785380505,M3_raw_values_plus_missingness_logistic
"(0.9999793, 0.9999799]",133,1.0,0.9999796164402047,M3_raw_values_plus_missingness_logistic
"(0.9999799, 0.9999804]",133,1.0,0.9999801529455424,M3_raw_values_plus_missingness_logistic
"(0.9999804, 0.999981]",133,1.0,0.9999807308554509,M3_raw_values_plus_missingness_logistic
"(0.999981, 0.9999819]",133,1.0,0.9999814480298359,M3_raw_values_plus_missingness_logistic
"(0.9999819, 0.9999923]",133,1.0,0.999983210709357,M3_raw_values_plus_missingness_logistic
"(-0.001, 0.2]",45,0.0,0.0008856805422894212,M3_raw_values_plus_missingness_random_forest
"(0.8, 1.0]",1286,1.0,0.9998056871908002,M3_raw_values_plus_missingness_random_forest
"(-0.0009682, 0.454]",134,0.7313432835820896,0.26640169790815077,M4_balanced_harmonized_logistic
"(0.454, 0.594]",133,0.9699248120300752,0.5301453341048953,M4_balanced_harmonized_logistic
"(0.594, 0.673]",133,1.0,0.6357615913843844,M4_balanced_harmonized_logistic
"(0.673, 0.74]",133,1.0,0.7081302834100552,M4_balanced_harmonized_logistic
"(0.74, 0.796]",133,0.9924812030075187,0.7711233065424385,M4_balanced_harmonized_logistic
"(0.796, 0.842]",133,0.9924812030075187,0.8202198446208797,M4_balanced_harmonized_logistic
"(0.842, 0.883]",133,0.9849624060150376,0.8623882260100961,M4_balanced_harmonized_logistic
"(0.883, 0.913]",133,1.0,0.8992574168209292,M4_balanced_harmonized_logistic
"(0.913, 0.945]",133,0.9924812030075187,0.9280119253997525,M4_balanced_harmonized_logistic
"(0.945, 0.993]",133,1.0,0.9641433963468807,M4_balanced_harmonized_logistic
"(-0.00099925, 0.317]",134,0.8507462686567164,0.17378479572355762,M5_balanced_harmonized_no_age_logistic
"(0.317, 0.465]",133,0.9172932330827067,0.39622410979165307,M5_balanced_harmonized_no_age_logistic
"(0.465, 0.591]",133,0.9548872180451128,0.5284007707942031,M5_balanced_harmonized_no_age_logistic
"(0.591, 0.675]",133,0.9924812030075187,0.6391599128622815,M5_balanced_harmonized_no_age_logistic
"(0.675, 0.731]",133,0.9699248120300752,0.7067205383166479,M5_balanced_harmonized_no_age_logistic
"(0.731, 0.763]",137,1.0,0.746273782388127,M5_balanced_harmonized_no_age_logistic
"(0.763, 0.821]",129,1.0,0.7889478318109848,M5_balanced_harmonized_no_age_logistic
"(0.821, 0.875]",133,0.9924812030075187,0.8482608072201204,M5_balanced_harmonized_no_age_logistic
"(0.875, 0.923]",133,0.9849624060150376,0.8998305734374145,M5_balanced_harmonized_no_age_logistic
"(0.923, 0.996]",133,1.0,0.9552006253694151,M5_balanced_harmonized_no_age_logistic
